Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,619.0,632.0,617.0,628.0,628.0,18041560
2021-06-02,634.0,640.0,625.5,628.5,628.5,16332063
2021-06-03,628.5,629.5,612.0,615.5,615.5,12310451
2021-06-04,610.0,614.5,606.0,611.5,611.5,18940490
2021-06-07,611.0,611.5,598.5,600.5,600.5,19767396
2021-06-08,606.0,606.0,597.0,601.0,601.0,10324239
2021-06-09,600.0,606.0,597.5,603.0,603.0,7766899
2021-06-10,605.0,608.5,598.0,600.5,600.5,11727606
2021-06-11,608.5,608.5,596.0,596.0,596.0,14496695
2021-06-15,605.0,605.0,592.0,600.0,600.0,11531430
2021-06-16,597.0,598.5,594.5,596.5,596.5,9771103
2021-06-17,594.0,599.0,591.5,599.0,599.0,13771836
2021-06-18,602.0,608.0,599.5,603.0,603.0,12301606
